dpclk frequence address f3: 00040c01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c4	2331648	2331648	2331648	2331648	2331648	1251254	1167124	1165824	515121	40639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	31042	84985	442088	1024184	1074325	1198474	1612277	1914261	2212321	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	2331648	1777866	1168002	1165824	1057188	545344	50943	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	14873	216027	301497	515000	740803	1058580	1224526	1983453	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c6	2331648	2331648	2331648	2331648	2331648	1254869	1166209	1165824	529475	28316	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2561	57623	108991	534783	913693	1168765	1348417	1680694	2078963	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c7	2331648	2331648	2331648	2331648	2331648	1453681	1184686	1165847	1041069	269549	38501	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	4999	27799	384738	769857	960057	1165827	1185127	1986736	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
dpclk frequence address f3: 00040f01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	2331648	2331648	2331648	2331648	2331648	1255754	1166656	1165824	550125	61243	1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	4534	116199	682359	1055074	1144749	1168384	1198785	1371054	1605656	2190506	2283192	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c1	2331648	2331648	2331648	2331648	2331648	1543216	1166840	1165824	984986	286070	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	7096	22355	213364	446895	921596	1178945	1811139	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c2	2331648	2331648	2331648	2331648	2279806	1226177	1166298	1147781	548228	189112	21792	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1561	43298	457125	682388	1070910	1166936	1202349	1531493	1954906	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c3	2331648	2331648	2331648	2331648	1992622	1178551	1165824	870240	228552	4339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4285	116019	572341	1089847	1165824	1165865	1172485	1503663	2094633	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c4	2331648	2331648	2331648	2331648	2331648	1421709	1171351	1165827	741515	39773	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1747	41691	379488	855178	1025949	1085326	1191242	1630650	2000458	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	2331648	2216489	1173356	1165824	1081767	721860	93593	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8640	75960	321548	621437	903564	1048810	1246375	1456274	2331511	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c6	2331648	2331648	2331648	2331648	2331648	1317278	1167663	1165689	563948	39271	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	3307	46178	304514	950042	1067329	1239688	1318674	1561259	2102116	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c7	2331648	2331648	2331648	2331648	2331648	1565185	1204356	1165949	983760	269080	50383	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	15901	165547	420135	586673	1020674	1036284	1193863	1650271	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
