dpclk frequence address f3: 00040c01
ch\de   d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e
c4	1036288	1036288	1036288	1036288	1036288	1014234	632545	438465	316131	28081	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	34456	32963	198853	186923	784651	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c5	1036288	1036288	1036288	1036288	1036288	710779	516468	130756	64795	23537	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	13	14558	35639	197647	195877	967838	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c6	1036288	1036288	1036288	1036288	1036288	1036288	660336	529597	212086	182391	8260	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	8855	166463	422492	1036288	1007700	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c7	1036288	1036288	1036288	1036288	1036288	925595	573813	526299	295596	31356	4464	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	367	102122	96453	374150	725757	1017814	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
dpclk frequence address f3: 00040f01
ch\de   d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e
c0	1036288	1036288	1036288	1036288	1036288	1036288	883337	571524	377306	358509	211067	55875	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1138	8944	121602	590205	904661	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c1	1036288	1036288	1036288	1036288	1036288	1036288	960591	659137	533332	469241	409737	69439	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13576	194277	965146	962474	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c2	1036288	1036288	1036288	1036288	1036288	670472	544272	282540	204048	42432	14081	1836	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	13	50	72521	767738	440110	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c3	1036288	1036288	1036288	1036288	1036288	897847	618451	537935	373847	110391	71683	6576	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	536	212628	225881	696993	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c4	1036288	1036288	1036288	1036288	1036288	1036288	585074	520364	314301	54830	2650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11126	4288	16946	760533	623648	1031736	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c5	1036288	1036288	1036288	1036288	1036288	873105	518049	399773	70518	65292	12767	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3225	1951	7948	62033	577426	757986	1031838	1036288	1036132	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c6	1036288	1036288	1036288	1036288	1036288	1036288	827684	597493	280803	194769	7360	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	1045	50901	151805	1036288	859501	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c7	1036288	1036288	1036288	1036288	1036288	980778	641130	538854	398069	134510	29652	2495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	174	7833	72080	258156	745514	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
